s_country_name,s_country_slug,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Senegal,senegal,SN,Dakar,dakar,Dakar,dakar
Senegal,senegal,SN,Dakar,dakar,Dakar Department,dakar-department
Senegal,senegal,SN,Dakar,dakar,Guediawaye Department,guediawaye-department
Senegal,senegal,SN,Dakar,dakar,Mermoz Boabab,mermoz-boabab
Senegal,senegal,SN,Dakar,dakar,Ndiareme limamoulaye,ndiareme-limamoulaye
Senegal,senegal,SN,Dakar,dakar,Pikine,pikine
Senegal,senegal,SN,Dakar,dakar,Pikine Department,pikine-department
Senegal,senegal,SN,Dakar,dakar,Rufisque Department,rufisque-department
Senegal,senegal,SN,Diourbel Region,diourbel-region,Mbacke,mbacke
Senegal,senegal,SN,Diourbel Region,diourbel-region,Mbake,mbake
Senegal,senegal,SN,Diourbel Region,diourbel-region,Tiebo,tiebo
Senegal,senegal,SN,Diourbel Region,diourbel-region,Touba,touba
Senegal,senegal,SN,Fatick,fatick,Diofior,diofior
Senegal,senegal,SN,Fatick,fatick,Fatick Department,fatick-department
Senegal,senegal,SN,Fatick,fatick,Foundiougne,foundiougne
Senegal,senegal,SN,Fatick,fatick,Guinguineo,guinguineo
Senegal,senegal,SN,Fatick,fatick,Passi,passi
Senegal,senegal,SN,Fatick,fatick,Pourham,pourham
Senegal,senegal,SN,Fatick,fatick,Sokone,sokone
Senegal,senegal,SN,Kaffrine,kaffrine,Kaffrine,kaffrine
Senegal,senegal,SN,Kaffrine,kaffrine,Koungheul,koungheul
Senegal,senegal,SN,Kaolack,kaolack,Gandiaye,gandiaye
Senegal,senegal,SN,Kaolack,kaolack,Kaolack,kaolack
Senegal,senegal,SN,Kaolack,kaolack,Ndofane,ndofane
Senegal,senegal,SN,Kaolack,kaolack,Nioro du Rip,nioro-du-rip
Senegal,senegal,SN,Kedougou,kedougou,Departement de Salemata,departement-de-salemata
Senegal,senegal,SN,Kedougou,kedougou,Kedougou,kedougou
Senegal,senegal,SN,Kedougou,kedougou,Kedougou Department,kedougou-department
Senegal,senegal,SN,Kedougou,kedougou,Saraya,saraya
Senegal,senegal,SN,Kolda,kolda,Kolda,kolda
Senegal,senegal,SN,Kolda,kolda,Kolda Department,kolda-department
Senegal,senegal,SN,Kolda,kolda,Marsassoum,marsassoum
Senegal,senegal,SN,Kolda,kolda,Velingara,velingara
Senegal,senegal,SN,Louga,louga,Dara,dara
Senegal,senegal,SN,Louga,louga,Gueoul,gueoul
Senegal,senegal,SN,Louga,louga,Linguere Department,linguere-department
Senegal,senegal,SN,Louga,louga,Louga,louga
Senegal,senegal,SN,Louga,louga,Ndibene Dahra,ndibene-dahra
Senegal,senegal,SN,Matam,matam,Diawara,diawara
Senegal,senegal,SN,Matam,matam,Kanel,kanel
Senegal,senegal,SN,Matam,matam,Matam,matam
Senegal,senegal,SN,Matam,matam,Matam Department,matam-department
Senegal,senegal,SN,Matam,matam,Ouro Sogui,ouro-sogui
Senegal,senegal,SN,Matam,matam,Ranerou,ranerou
Senegal,senegal,SN,Matam,matam,Seme,seme
Senegal,senegal,SN,Matam,matam,Waounde,waounde
Senegal,senegal,SN,Saint-Louis,saint-louis,Golere,golere
Senegal,senegal,SN,Saint-Louis,saint-louis,Ndioum,ndioum
Senegal,senegal,SN,Saint-Louis,saint-louis,Polel Diaoube,polel-diaoube
Senegal,senegal,SN,Saint-Louis,saint-louis,Richard-Toll,richard-toll
Senegal,senegal,SN,Saint-Louis,saint-louis,Rosso,rosso
Senegal,senegal,SN,Saint-Louis,saint-louis,Saint-Louis,saint-louis
Senegal,senegal,SN,Sedhiou,sedhiou,Goudomp Department,goudomp-department
Senegal,senegal,SN,Sedhiou,sedhiou,Sedhiou,sedhiou
Senegal,senegal,SN,Tambacounda Region,tambacounda-region,Tambacounda,tambacounda
Senegal,senegal,SN,Tambacounda Region,tambacounda-region,Tambacounda Department,tambacounda-department
Senegal,senegal,SN,Thies Region,thies-region,Joal-Fadiout,joal-fadiout
Senegal,senegal,SN,Thies Region,thies-region,Kayar,kayar
Senegal,senegal,SN,Thies Region,thies-region,Khombole,khombole
Senegal,senegal,SN,Thies Region,thies-region,Mbour,mbour
Senegal,senegal,SN,Thies Region,thies-region,Mekhe,mekhe
Senegal,senegal,SN,Thies Region,thies-region,Nguekhokh,nguekhokh
Senegal,senegal,SN,Thies Region,thies-region,Pout,pout
Senegal,senegal,SN,Thies Region,thies-region,Thies,thies
Senegal,senegal,SN,Thies Region,thies-region,Thies Nones,thies-nones
Senegal,senegal,SN,Thies Region,thies-region,Tiadiaye,tiadiaye
Senegal,senegal,SN,Thies Region,thies-region,Tivaouane,tivaouane
Senegal,senegal,SN,Thies Region,thies-region,Warang,warang
Senegal,senegal,SN,Ziguinchor,ziguinchor,Adeane,adeane
Senegal,senegal,SN,Ziguinchor,ziguinchor,Bignona,bignona
Senegal,senegal,SN,Ziguinchor,ziguinchor,Oussouye,oussouye
Senegal,senegal,SN,Ziguinchor,ziguinchor,Tionk Essil,tionk-essil
Senegal,senegal,SN,Ziguinchor,ziguinchor,Ziguinchor,ziguinchor
