s_country_name,s_country_slug,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
El Salvador,el-salvador,SV,Ahuachapan Department,ahuachapan-department,Ahuachapan,ahuachapan
El Salvador,el-salvador,SV,Ahuachapan Department,ahuachapan-department,Atiquizaya,atiquizaya
El Salvador,el-salvador,SV,Ahuachapan Department,ahuachapan-department,Concepcion de Ataco,concepcion-de-ataco
El Salvador,el-salvador,SV,Ahuachapan Department,ahuachapan-department,Guaymango,guaymango
El Salvador,el-salvador,SV,Ahuachapan Department,ahuachapan-department,Jujutla,jujutla
El Salvador,el-salvador,SV,Ahuachapan Department,ahuachapan-department,San Francisco Menendez,san-francisco-menendez
El Salvador,el-salvador,SV,Ahuachapan Department,ahuachapan-department,Tacuba,tacuba
El Salvador,el-salvador,SV,Cabanas Department,cabanas-department,Sensuntepeque,sensuntepeque
El Salvador,el-salvador,SV,Cabanas Department,cabanas-department,Victoria,victoria
El Salvador,el-salvador,SV,Chalatenango Department,chalatenango-department,Chalatenango,chalatenango
El Salvador,el-salvador,SV,Chalatenango Department,chalatenango-department,Nueva Concepcion,nueva-concepcion
El Salvador,el-salvador,SV,Cuscatlan Department,cuscatlan-department,Cojutepeque,cojutepeque
El Salvador,el-salvador,SV,Cuscatlan Department,cuscatlan-department,San Martin,san-martin
El Salvador,el-salvador,SV,Cuscatlan Department,cuscatlan-department,Suchitoto,suchitoto
El Salvador,el-salvador,SV,Cuscatlan Department,cuscatlan-department,Tecoluca,tecoluca
El Salvador,el-salvador,SV,Cuscatlan Department,cuscatlan-department,Tenancingo,tenancingo
El Salvador,el-salvador,SV,La Libertad Department,la-libertad-department,Antiguo Cuscatlan,antiguo-cuscatlan
El Salvador,el-salvador,SV,La Libertad Department,la-libertad-department,Ciudad Arce,ciudad-arce
El Salvador,el-salvador,SV,La Libertad Department,la-libertad-department,La Libertad,la-libertad
El Salvador,el-salvador,SV,La Libertad Department,la-libertad-department,Nuevo Cuscatlan,nuevo-cuscatlan
El Salvador,el-salvador,SV,La Libertad Department,la-libertad-department,Quezaltepeque,quezaltepeque
El Salvador,el-salvador,SV,La Libertad Department,la-libertad-department,San Juan Opico,san-juan-opico
El Salvador,el-salvador,SV,La Libertad Department,la-libertad-department,San Pablo Tacachico,san-pablo-tacachico
El Salvador,el-salvador,SV,La Libertad Department,la-libertad-department,Santa Tecla,santa-tecla
El Salvador,el-salvador,SV,La Libertad Department,la-libertad-department,Zaragoza,zaragoza
El Salvador,el-salvador,SV,La Paz Department,la-paz-department,El Rosario,el-rosario
