s_country_name,s_country_slug,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Swaziland,swaziland,SZ,Hhohho District,hhohho-district,Bulembu,bulembu
Swaziland,swaziland,SZ,Hhohho District,hhohho-district,Hhukwini,hhukwini
Swaziland,swaziland,SZ,Hhohho District,hhohho-district,Lobamba,lobamba
Swaziland,swaziland,SZ,Hhohho District,hhohho-district,Mbabane,mbabane
Swaziland,swaziland,SZ,Hhohho District,hhohho-district,Nkhaba,nkhaba
Swaziland,swaziland,SZ,Hhohho District,hhohho-district,Piggs Peak,piggs-peak
Swaziland,swaziland,SZ,Lubombo District,lubombo-district,Big Bend,big-bend
Swaziland,swaziland,SZ,Lubombo District,lubombo-district,Dvokodvweni Inkhundla,dvokodvweni-inkhundla
Swaziland,swaziland,SZ,Lubombo District,lubombo-district,Lomashasha,lomashasha
Swaziland,swaziland,SZ,Lubombo District,lubombo-district,Mhlume,mhlume
Swaziland,swaziland,SZ,Lubombo District,lubombo-district,Nsoko,nsoko
Swaziland,swaziland,SZ,Lubombo District,lubombo-district,Siteki,siteki
Swaziland,swaziland,SZ,Lubombo District,lubombo-district,Tshaneni,tshaneni
Swaziland,swaziland,SZ,Lubombo District,lubombo-district,Vuvulane,vuvulane
Swaziland,swaziland,SZ,Manzini District,manzini-district,Bhunya,bhunya
Swaziland,swaziland,SZ,Manzini District,manzini-district,Ekukhanyeni,ekukhanyeni
Swaziland,swaziland,SZ,Manzini District,manzini-district,Kwaluseni,kwaluseni
Swaziland,swaziland,SZ,Manzini District,manzini-district,Malkerns,malkerns
Swaziland,swaziland,SZ,Manzini District,manzini-district,Manzini,manzini
Swaziland,swaziland,SZ,Manzini District,manzini-district,Manzini South,manzini-south
Swaziland,swaziland,SZ,Manzini District,manzini-district,Mhlambanyatsi,mhlambanyatsi
Swaziland,swaziland,SZ,Manzini District,manzini-district,Ngwempisi,ngwempisi
Swaziland,swaziland,SZ,Manzini District,manzini-district,Ntondozi,ntondozi
Swaziland,swaziland,SZ,Manzini District,manzini-district,Sidvokodvo,sidvokodvo
Swaziland,swaziland,SZ,Shiselweni District,shiselweni-district,Hlatikulu,hlatikulu
Swaziland,swaziland,SZ,Shiselweni District,shiselweni-district,Hluti,hluti
Swaziland,swaziland,SZ,Shiselweni District,shiselweni-district,Kubuta,kubuta
Swaziland,swaziland,SZ,Shiselweni District,shiselweni-district,Lavumisa,lavumisa
Swaziland,swaziland,SZ,Shiselweni District,shiselweni-district,Matsanjeni,matsanjeni
Swaziland,swaziland,SZ,Shiselweni District,shiselweni-district,Ngudzeni,ngudzeni
Swaziland,swaziland,SZ,Shiselweni District,shiselweni-district,Nhlangano,nhlangano
Swaziland,swaziland,SZ,Shiselweni District,shiselweni-district,Nkwene,nkwene
Swaziland,swaziland,SZ,Shiselweni District,shiselweni-district,Sigwe Inkhundla,sigwe-inkhundla
Swaziland,swaziland,SZ,Shiselweni District,shiselweni-district,Zombodze Ikhundla,zombodze-ikhundla
