s_country_name,s_country_slug,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Turkmenistan,turkmenistan,TM,Ahal Region,ahal-region,Abadan,abadan
Turkmenistan,turkmenistan,TM,Ahal Region,ahal-region,Annau,annau
Turkmenistan,turkmenistan,TM,Ahal Region,ahal-region,Arcabil,arcabil
Turkmenistan,turkmenistan,TM,Ahal Region,ahal-region,Baharly,baharly
Turkmenistan,turkmenistan,TM,Ahal Region,ahal-region,Kaka,kaka
Turkmenistan,turkmenistan,TM,Ahal Region,ahal-region,Tejen,tejen
Turkmenistan,turkmenistan,TM,Ashgabat,ashgabat,Ashgabat,ashgabat
Turkmenistan,turkmenistan,TM,Balkan Region,balkan-region,Balkanabat,balkanabat
Turkmenistan,turkmenistan,TM,Balkan Region,balkan-region,Bereket,bereket
Turkmenistan,turkmenistan,TM,Balkan Region,balkan-region,Gumdag,gumdag
Turkmenistan,turkmenistan,TM,Balkan Region,balkan-region,Magtymguly,magtymguly
Turkmenistan,turkmenistan,TM,Balkan Region,balkan-region,Serdar,serdar
Turkmenistan,turkmenistan,TM,Balkan Region,balkan-region,Turkmenbasy,turkmenbasy
Turkmenistan,turkmenistan,TM,Dasoguz Region,dasoguz-region,Akdepe,akdepe
Turkmenistan,turkmenistan,TM,Dasoguz Region,dasoguz-region,Boldumsaz,boldumsaz
Turkmenistan,turkmenistan,TM,Dasoguz Region,dasoguz-region,Dasoguz,dasoguz
Turkmenistan,turkmenistan,TM,Dasoguz Region,dasoguz-region,Koneurgench,koneurgench
Turkmenistan,turkmenistan,TM,Dasoguz Region,dasoguz-region,Tagta,tagta
Turkmenistan,turkmenistan,TM,Dasoguz Region,dasoguz-region,Yylanly,yylanly
Turkmenistan,turkmenistan,TM,Lebap Region,lebap-region,Atamyrat,atamyrat
Turkmenistan,turkmenistan,TM,Lebap Region,lebap-region,Farap,farap
Turkmenistan,turkmenistan,TM,Lebap Region,lebap-region,Gazojak,gazojak
Turkmenistan,turkmenistan,TM,Lebap Region,lebap-region,Gowurdak,gowurdak
Turkmenistan,turkmenistan,TM,Lebap Region,lebap-region,Sayat,sayat
Turkmenistan,turkmenistan,TM,Lebap Region,lebap-region,Turkmenabat,turkmenabat
Turkmenistan,turkmenistan,TM,Mary Region,mary-region,Bayramaly,bayramaly
Turkmenistan,turkmenistan,TM,Mary Region,mary-region,Mary,mary
Turkmenistan,turkmenistan,TM,Mary Region,mary-region,Serhetabat,serhetabat
Turkmenistan,turkmenistan,TM,Mary Region,mary-region,Seydi,seydi
Turkmenistan,turkmenistan,TM,Mary Region,mary-region,Yoloten,yoloten
