s_country_name,s_country_slug,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Samoa,samoa,WS,A'ana,aana,Fasitoouta,fasitoouta
Samoa,samoa,WS,A'ana,aana,Leulumoega,leulumoega
Samoa,samoa,WS,A'ana,aana,Nofoalii,nofoalii
Samoa,samoa,WS,A'ana,aana,Satapuala,satapuala
Samoa,samoa,WS,Aiga-i-le-Tai,aiga-i-le-tai,Mulifanua,mulifanua
Samoa,samoa,WS,Atua,atua,Falefa,falefa
Samoa,samoa,WS,Atua,atua,Lotofaga,lotofaga
Samoa,samoa,WS,Atua,atua,Lufilufi,lufilufi
Samoa,samoa,WS,Atua,atua,Solosolo,solosolo
Samoa,samoa,WS,Fa'asaleleaga,faasaleleaga,Fa'asaleleaga,faasaleleaga
Samoa,samoa,WS,Gaga'emauga,gagaemauga,Gaga'emauga,gagaemauga
Samoa,samoa,WS,Gaga'ifomauga,gagaifomauga,Matavai,matavai
Samoa,samoa,WS,Gaga'ifomauga,gagaifomauga,Safotu,safotu
Samoa,samoa,WS,Palauli,palauli,Gataivai,gataivai
Samoa,samoa,WS,Palauli,palauli,Vailoa,vailoa
Samoa,samoa,WS,Satupa'itea,satupaitea,Satupa'itea,satupaitea
Samoa,samoa,WS,Tuamasaga,tuamasaga,Afega,afega
Samoa,samoa,WS,Tuamasaga,tuamasaga,Apia,apia
Samoa,samoa,WS,Tuamasaga,tuamasaga,Malie,malie
Samoa,samoa,WS,Tuamasaga,tuamasaga,Vailima,vailima
Samoa,samoa,WS,Tuamasaga,tuamasaga,Vaiusu,vaiusu
Samoa,samoa,WS,Va'a-o-Fonoti,vaa-o-fonoti,Samamea,samamea
Samoa,samoa,WS,Vaisigano,vaisigano,Asau,asau
