s_country_name,s_country_slug,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Yemen,yemen,YE,'Adan Governorate,adan-governorate,Aden,aden
Yemen,yemen,YE,'Adan Governorate,adan-governorate,Al Buraiqeh,al-buraiqeh
Yemen,yemen,YE,'Adan Governorate,adan-governorate,Al Mansura,al-mansura
Yemen,yemen,YE,'Adan Governorate,adan-governorate,Al Mualla,al-mualla
Yemen,yemen,YE,'Adan Governorate,adan-governorate,Ash Shaikh Outhman,ash-shaikh-outhman
Yemen,yemen,YE,'Adan Governorate,adan-governorate,Attawahi,attawahi
Yemen,yemen,YE,'Adan Governorate,adan-governorate,Craiter,craiter
Yemen,yemen,YE,'Adan Governorate,adan-governorate,Dar Sad,dar-sad
Yemen,yemen,YE,'Amran Governorate,amran-governorate,Amran,amran
Yemen,yemen,YE,'Amran Governorate,amran-governorate,Al Ashah,al-ashah
Yemen,yemen,YE,'Amran Governorate,amran-governorate,Al Madan,al-madan
Yemen,yemen,YE,'Amran Governorate,amran-governorate,Al Qaflah,al-qaflah
Yemen,yemen,YE,'Amran Governorate,amran-governorate,As Sawd,as-sawd
Yemen,yemen,YE,'Amran Governorate,amran-governorate,As Sudah,as-sudah
Yemen,yemen,YE,'Amran Governorate,amran-governorate,Bani Suraim,bani-suraim
Yemen,yemen,YE,'Amran Governorate,amran-governorate,Dhi Bin,dhi-bin
Yemen,yemen,YE,'Amran Governorate,amran-governorate,Habur Zulaymah,habur-zulaymah
Yemen,yemen,YE,'Amran Governorate,amran-governorate,Harf Sufyan,harf-sufyan
Yemen,yemen,YE,'Amran Governorate,amran-governorate,Hooth,hooth
Yemen,yemen,YE,'Amran Governorate,amran-governorate,Iyal Surayh,iyal-surayh
Yemen,yemen,YE,'Amran Governorate,amran-governorate,Jabal Iyal Yazid,jabal-iyal-yazid
Yemen,yemen,YE,'Amran Governorate,amran-governorate,Khamir,khamir
Yemen,yemen,YE,'Amran Governorate,amran-governorate,Kharif,kharif
Yemen,yemen,YE,'Amran Governorate,amran-governorate,Maswar,maswar
Yemen,yemen,YE,'Amran Governorate,amran-governorate,Raydah,raydah
Yemen,yemen,YE,'Amran Governorate,amran-governorate,Shaharah,shaharah
Yemen,yemen,YE,'Amran Governorate,amran-governorate,Suwayr,suwayr
Yemen,yemen,YE,'Amran Governorate,amran-governorate,Thula,thula
Yemen,yemen,YE,Abyan Governorate,abyan-governorate,Ahwar,ahwar
Yemen,yemen,YE,Abyan Governorate,abyan-governorate,Ahwar,ahwar
Yemen,yemen,YE,Abyan Governorate,abyan-governorate,Al Mahfad,al-mahfad
Yemen,yemen,YE,Abyan Governorate,abyan-governorate,Al Wade'a,al-wadea
Yemen,yemen,YE,Abyan Governorate,abyan-governorate,Jawf al Maqbabah,jawf-al-maqbabah
Yemen,yemen,YE,Abyan Governorate,abyan-governorate,Jayshan,jayshan
Yemen,yemen,YE,Abyan Governorate,abyan-governorate,Khanfir,khanfir
Yemen,yemen,YE,Abyan Governorate,abyan-governorate,Lawdar,lawdar
Yemen,yemen,YE,Abyan Governorate,abyan-governorate,Mudiyah,mudiyah
Yemen,yemen,YE,Abyan Governorate,abyan-governorate,Mudiyah,mudiyah
Yemen,yemen,YE,Abyan Governorate,abyan-governorate,Rasad,rasad
Yemen,yemen,YE,Abyan Governorate,abyan-governorate,Sarar,sarar
Yemen,yemen,YE,Abyan Governorate,abyan-governorate,Sibah,sibah
Yemen,yemen,YE,Abyan Governorate,abyan-governorate,Zingibar,zingibar
Yemen,yemen,YE,Abyan Governorate,abyan-governorate,Zinjibar,zinjibar
Yemen,yemen,YE,Al Bayda' Governorate,al-bayda-governorate,Al A'rsh,al-arsh
Yemen,yemen,YE,Al Bayda' Governorate,al-bayda-governorate,Al Bayda,al-bayda
Yemen,yemen,YE,Al Bayda' Governorate,al-bayda-governorate,Al Bayda City,al-bayda-city
Yemen,yemen,YE,Al Bayda' Governorate,al-bayda-governorate,Al Bayda,al-bayda
Yemen,yemen,YE,Al Bayda' Governorate,al-bayda-governorate,Al Malagim,al-malagim
Yemen,yemen,YE,Al Bayda' Governorate,al-bayda-governorate,Al Quraishyah,al-quraishyah
Yemen,yemen,YE,Al Bayda' Governorate,al-bayda-governorate,Ar Ryashyyah,ar-ryashyyah
Yemen,yemen,YE,Al Bayda' Governorate,al-bayda-governorate,As Sawadiyah,as-sawadiyah
Yemen,yemen,YE,Al Bayda' Governorate,al-bayda-governorate,As Sawma'ah,as-sawmaah
Yemen,yemen,YE,Al Bayda' Governorate,al-bayda-governorate,Ash Sharafayn,ash-sharafayn
Yemen,yemen,YE,Al Bayda' Governorate,al-bayda-governorate,At Taffah,at-taffah
Yemen,yemen,YE,Al Bayda' Governorate,al-bayda-governorate,Az Zahir,az-zahir
Yemen,yemen,YE,Al Bayda' Governorate,al-bayda-governorate,Dhi Na'im,dhi-naim
Yemen,yemen,YE,Al Bayda' Governorate,al-bayda-governorate,Maswarah,maswarah
Yemen,yemen,YE,Al Bayda' Governorate,al-bayda-governorate,Mukayras,mukayras
Yemen,yemen,YE,Al Bayda' Governorate,al-bayda-governorate,Na'man,naman
Yemen,yemen,YE,Al Bayda' Governorate,al-bayda-governorate,Nati',nati
Yemen,yemen,YE,Al Bayda' Governorate,al-bayda-governorate,Rada,rada
Yemen,yemen,YE,Al Bayda' Governorate,al-bayda-governorate,Radman Al Awad,radman-al-awad
Yemen,yemen,YE,Al Bayda' Governorate,al-bayda-governorate,Sabah,sabah
Yemen,yemen,YE,Al Bayda' Governorate,al-bayda-governorate,Wald Rabi',wald-rabi
Yemen,yemen,YE,Al Hudaydah Governorate,al-hudaydah-governorate,Ad Dahi,ad-dahi
Yemen,yemen,YE,Al Hudaydah Governorate,al-hudaydah-governorate,Ad Durayhimi,ad-durayhimi
Yemen,yemen,YE,Al Hudaydah Governorate,al-hudaydah-governorate,Al Garrahi,al-garrahi
Yemen,yemen,YE,Al Hudaydah Governorate,al-hudaydah-governorate,Al Hajjaylah,al-hajjaylah
Yemen,yemen,YE,Al Hudaydah Governorate,al-hudaydah-governorate,Al Hali,al-hali
Yemen,yemen,YE,Al Hudaydah Governorate,al-hudaydah-governorate,Al Hawak,al-hawak
Yemen,yemen,YE,Al Hudaydah Governorate,al-hudaydah-governorate,Al Hudaydah,al-hudaydah
Yemen,yemen,YE,Al Hudaydah Governorate,al-hudaydah-governorate,Al Mansuriyah,al-mansuriyah
Yemen,yemen,YE,Al Hudaydah Governorate,al-hudaydah-governorate,Al Marawi'ah,al-marawiah
Yemen,yemen,YE,Al Hudaydah Governorate,al-hudaydah-governorate,Al Mighlaf,al-mighlaf
Yemen,yemen,YE,Al Hudaydah Governorate,al-hudaydah-governorate,Al Mina,al-mina
Yemen,yemen,YE,Al Hudaydah Governorate,al-hudaydah-governorate,Al Munirah,al-munirah
Yemen,yemen,YE,Al Hudaydah Governorate,al-hudaydah-governorate,Al Qanawis,al-qanawis
Yemen,yemen,YE,Al Hudaydah Governorate,al-hudaydah-governorate,Alluheyah,alluheyah
Yemen,yemen,YE,Al Hudaydah Governorate,al-hudaydah-governorate,As Salif,as-salif
Yemen,yemen,YE,Al Hudaydah Governorate,al-hudaydah-governorate,As Salif,as-salif
Yemen,yemen,YE,Al Hudaydah Governorate,al-hudaydah-governorate,As Sukhnah,as-sukhnah
Yemen,yemen,YE,Al Hudaydah Governorate,al-hudaydah-governorate,At Tuhayat,at-tuhayat
Yemen,yemen,YE,Al Hudaydah Governorate,al-hudaydah-governorate,Az Zaydiyah,az-zaydiyah
Yemen,yemen,YE,Al Hudaydah Governorate,al-hudaydah-governorate,Az Zuhrah,az-zuhrah
Yemen,yemen,YE,Al Hudaydah Governorate,al-hudaydah-governorate,Bajil,bajil
Yemen,yemen,YE,Al Hudaydah Governorate,al-hudaydah-governorate,Bayt al Faqih,bayt-al-faqih
Yemen,yemen,YE,Al Hudaydah Governorate,al-hudaydah-governorate,Bura,bura
Yemen,yemen,YE,Al Hudaydah Governorate,al-hudaydah-governorate,Hays,hays
Yemen,yemen,YE,Al Hudaydah Governorate,al-hudaydah-governorate,Jabal Ra's,jabal-ras
Yemen,yemen,YE,Al Hudaydah Governorate,al-hudaydah-governorate,Kamaran,kamaran
Yemen,yemen,YE,Al Hudaydah Governorate,al-hudaydah-governorate,Zabid,zabid
Yemen,yemen,YE,Al Jawf Governorate,al-jawf-governorate,Al Inan,al-inan
Yemen,yemen,YE,Al Jawf Governorate,al-jawf-governorate,Al Ghayl,al-ghayl
Yemen,yemen,YE,Al Jawf Governorate,al-jawf-governorate,Al Hazm,al-hazm
Yemen,yemen,YE,Al Jawf Governorate,al-jawf-governorate,Al Hazm,al-hazm
Yemen,yemen,YE,Al Jawf Governorate,al-jawf-governorate,Al Humaydat,al-humaydat
Yemen,yemen,YE,Al Jawf Governorate,al-jawf-governorate,Al Khalq,al-khalq
Yemen,yemen,YE,Al Jawf Governorate,al-jawf-governorate,Al Maslub,al-maslub
Yemen,yemen,YE,Al Jawf Governorate,al-jawf-governorate,Al Matammah,al-matammah
Yemen,yemen,YE,Al Jawf Governorate,al-jawf-governorate,Al Maton,al-maton
Yemen,yemen,YE,Al Jawf Governorate,al-jawf-governorate,Az Zahir,az-zahir
Yemen,yemen,YE,Al Jawf Governorate,al-jawf-governorate,Bart al Anan,bart-al-anan
Yemen,yemen,YE,Al Jawf Governorate,al-jawf-governorate,Khabb wa ash Sha'af,khabb-wa-ash-shaaf
Yemen,yemen,YE,Al Jawf Governorate,al-jawf-governorate,Kharab Al Marashi,kharab-al-marashi
Yemen,yemen,YE,Al Jawf Governorate,al-jawf-governorate,Rajuzah,rajuzah
Yemen,yemen,YE,Al Mahrah Governorate,al-mahrah-governorate,Al Ghaydah,al-ghaydah
Yemen,yemen,YE,Al Mahrah Governorate,al-mahrah-governorate,Al Ghayzah,al-ghayzah
Yemen,yemen,YE,Al Mahrah Governorate,al-mahrah-governorate,Al Masilah,al-masilah
Yemen,yemen,YE,Al Mahrah Governorate,al-mahrah-governorate,Hat,hat
Yemen,yemen,YE,Al Mahrah Governorate,al-mahrah-governorate,Hawf,hawf
Yemen,yemen,YE,Al Mahrah Governorate,al-mahrah-governorate,Huswain,huswain
Yemen,yemen,YE,Al Mahrah Governorate,al-mahrah-governorate,Man'ar,manar
Yemen,yemen,YE,Al Mahrah Governorate,al-mahrah-governorate,Qishn,qishn
Yemen,yemen,YE,Al Mahrah Governorate,al-mahrah-governorate,Sayhut,sayhut
Yemen,yemen,YE,Al Mahrah Governorate,al-mahrah-governorate,Shahan,shahan
Yemen,yemen,YE,Al Mahwit Governorate,al-mahwit-governorate,Al Khabt,al-khabt
Yemen,yemen,YE,Al Mahwit Governorate,al-mahwit-governorate,Al Mahwait,al-mahwait
Yemen,yemen,YE,Al Mahwit Governorate,al-mahwit-governorate,Al Mahwit,al-mahwit
Yemen,yemen,YE,Al Mahwit Governorate,al-mahwit-governorate,Ar Rujum,ar-rujum
Yemen,yemen,YE,Al Mahwit Governorate,al-mahwit-governorate,At Tawilah,at-tawilah
Yemen,yemen,YE,Al Mahwit Governorate,al-mahwit-governorate,Bani Sa'd,bani-sad
Yemen,yemen,YE,Al Mahwit Governorate,al-mahwit-governorate,Hufash,hufash
Yemen,yemen,YE,Al Mahwit Governorate,al-mahwit-governorate,Milhan,milhan
Yemen,yemen,YE,Al Mahwit Governorate,al-mahwit-governorate,Shibam Kawkaban,shibam-kawkaban
Yemen,yemen,YE,Dhamar Governorate,dhamar-governorate,Ans,ans
Yemen,yemen,YE,Dhamar Governorate,dhamar-governorate,Al Hada,al-hada
Yemen,yemen,YE,Dhamar Governorate,dhamar-governorate,Al Manar,al-manar
Yemen,yemen,YE,Dhamar Governorate,dhamar-governorate,"Al-Medy Village,  ",al-medy-village
Yemen,yemen,YE,Dhamar Governorate,dhamar-governorate,Dawran Aness,dawran-aness
Yemen,yemen,YE,Dhamar Governorate,dhamar-governorate,Dhamar,dhamar
Yemen,yemen,YE,Dhamar Governorate,dhamar-governorate,Jabal Ash sharq,jabal-ash-sharq
Yemen,yemen,YE,Dhamar Governorate,dhamar-governorate,Jahran,jahran
Yemen,yemen,YE,Dhamar Governorate,dhamar-governorate,Maghirib Ans,maghirib-ans
Yemen,yemen,YE,Dhamar Governorate,dhamar-governorate,Mayfa'at Anss,mayfaat-anss
Yemen,yemen,YE,Dhamar Governorate,dhamar-governorate,Utmah,utmah
Yemen,yemen,YE,Dhamar Governorate,dhamar-governorate,Wusab Al Ali,wusab-al-ali
Yemen,yemen,YE,Dhamar Governorate,dhamar-governorate,Wusab As Safil,wusab-as-safil
Yemen,yemen,YE,Hadhramaut Governorate,hadhramaut-governorate,Ad Dis,ad-dis
Yemen,yemen,YE,Hadhramaut Governorate,hadhramaut-governorate,Ad Dis ash Sharqiyah,ad-dis-ash-sharqiyah
Yemen,yemen,YE,Hadhramaut Governorate,hadhramaut-governorate,Adh Dhlia'ah,adh-dhliaah
Yemen,yemen,YE,Hadhramaut Governorate,hadhramaut-governorate,Al Abr,al-abr
Yemen,yemen,YE,Hadhramaut Governorate,hadhramaut-governorate,Al Hamdi,al-hamdi
Yemen,yemen,YE,Hadhramaut Governorate,hadhramaut-governorate,Al Mukalla,al-mukalla
Yemen,yemen,YE,Hadhramaut Governorate,hadhramaut-governorate,Al Mukalla City,al-mukalla-city
Yemen,yemen,YE,Hadhramaut Governorate,hadhramaut-governorate,Al Qaf,al-qaf
Yemen,yemen,YE,Hadhramaut Governorate,hadhramaut-governorate,Al Qatn,al-qatn
Yemen,yemen,YE,Hadhramaut Governorate,hadhramaut-governorate,Amd,amd
