s_country_name,s_country_slug,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
South Africa,south-africa,ZA,Eastern Cape,eastern-cape,Adelaide,adelaide
South Africa,south-africa,ZA,Eastern Cape,eastern-cape,Alfred Nzo District Municipality,alfred-nzo-district-municipality
South Africa,south-africa,ZA,Eastern Cape,eastern-cape,Alice,alice
South Africa,south-africa,ZA,Eastern Cape,eastern-cape,Aliwal North,aliwal-north
South Africa,south-africa,ZA,Eastern Cape,eastern-cape,Amathole District Municipality,amathole-district-municipality
South Africa,south-africa,ZA,Eastern Cape,eastern-cape,Bhisho,bhisho
South Africa,south-africa,ZA,Eastern Cape,eastern-cape,Buffalo City Metropolitan Municipality,buffalo-city-metropolitan-municipality
South Africa,south-africa,ZA,Eastern Cape,eastern-cape,Burgersdorp,burgersdorp
South Africa,south-africa,ZA,Eastern Cape,eastern-cape,Butterworth,butterworth
South Africa,south-africa,ZA,Eastern Cape,eastern-cape,Cacadu District Municipality,cacadu-district-municipality
South Africa,south-africa,ZA,Eastern Cape,eastern-cape,Chris Hani District Municipality,chris-hani-district-municipality
South Africa,south-africa,ZA,Eastern Cape,eastern-cape,Cradock,cradock
South Africa,south-africa,ZA,Eastern Cape,eastern-cape,Dordrecht,dordrecht
South Africa,south-africa,ZA,Eastern Cape,eastern-cape,East London,east-london
South Africa,south-africa,ZA,Eastern Cape,eastern-cape,Elliot,elliot
South Africa,south-africa,ZA,Eastern Cape,eastern-cape,Fort Beaufort,fort-beaufort
South Africa,south-africa,ZA,Eastern Cape,eastern-cape,Graaff-Reinet,graaff-reinet
South Africa,south-africa,ZA,Eastern Cape,eastern-cape,Grahamstown,grahamstown
South Africa,south-africa,ZA,Eastern Cape,eastern-cape,Ilinge,ilinge
South Africa,south-africa,ZA,Eastern Cape,eastern-cape,Joe Gqabi District Municipality,joe-gqabi-district-municipality
South Africa,south-africa,ZA,Eastern Cape,eastern-cape,Kirkwood,kirkwood
South Africa,south-africa,ZA,Eastern Cape,eastern-cape,Kruisfontein,kruisfontein
South Africa,south-africa,ZA,Eastern Cape,eastern-cape,Lady Frere,lady-frere
South Africa,south-africa,ZA,Eastern Cape,eastern-cape,Middelburg,middelburg
South Africa,south-africa,ZA,Eastern Cape,eastern-cape,Molteno,molteno
South Africa,south-africa,ZA,Eastern Cape,eastern-cape,Mthatha,mthatha
South Africa,south-africa,ZA,Eastern Cape,eastern-cape,Nelson Mandela Bay Metropolitan Municipality,nelson-mandela-bay-metropolitan-municipality
South Africa,south-africa,ZA,Eastern Cape,eastern-cape,OR Tambo District Municipality,or-tambo-district-municipality
South Africa,south-africa,ZA,Eastern Cape,eastern-cape,Port Alfred,port-alfred
South Africa,south-africa,ZA,Eastern Cape,eastern-cape,Port Elizabeth,port-elizabeth
South Africa,south-africa,ZA,Eastern Cape,eastern-cape,Port Saint Johns,port-saint-johns
South Africa,south-africa,ZA,Eastern Cape,eastern-cape,Queensdale,queensdale
South Africa,south-africa,ZA,Eastern Cape,eastern-cape,Queenstown,queenstown
South Africa,south-africa,ZA,Eastern Cape,eastern-cape,Somerset East,somerset-east
South Africa,south-africa,ZA,Eastern Cape,eastern-cape,Stutterheim,stutterheim
South Africa,south-africa,ZA,Eastern Cape,eastern-cape,Uitenhage,uitenhage
South Africa,south-africa,ZA,Eastern Cape,eastern-cape,Whittlesea,whittlesea
South Africa,south-africa,ZA,Eastern Cape,eastern-cape,Willowmore,willowmore
South Africa,south-africa,ZA,Free State,free-state,Allanridge,allanridge
South Africa,south-africa,ZA,Free State,free-state,Bethlehem,bethlehem
South Africa,south-africa,ZA,Free State,free-state,Bloemfontein,bloemfontein
South Africa,south-africa,ZA,Free State,free-state,Bothaville,bothaville
South Africa,south-africa,ZA,Free State,free-state,Botshabelo,botshabelo
South Africa,south-africa,ZA,Free State,free-state,Brandfort,brandfort
South Africa,south-africa,ZA,Free State,free-state,Clocolan,clocolan
South Africa,south-africa,ZA,Free State,free-state,Deneysville,deneysville
South Africa,south-africa,ZA,Free State,free-state,Fezile Dabi District Municipality,fezile-dabi-district-municipality
South Africa,south-africa,ZA,Free State,free-state,Frankfort,frankfort
South Africa,south-africa,ZA,Free State,free-state,Harrismith,harrismith
South Africa,south-africa,ZA,Free State,free-state,Heilbron,heilbron
South Africa,south-africa,ZA,Free State,free-state,Hennenman,hennenman
South Africa,south-africa,ZA,Free State,free-state,Hoopstad,hoopstad
South Africa,south-africa,ZA,Free State,free-state,Koppies,koppies
South Africa,south-africa,ZA,Free State,free-state,Kroonstad,kroonstad
South Africa,south-africa,ZA,Free State,free-state,Kutloanong,kutloanong
South Africa,south-africa,ZA,Free State,free-state,Ladybrand,ladybrand
South Africa,south-africa,ZA,Free State,free-state,Lejweleputswa District Municipality,lejweleputswa-district-municipality
South Africa,south-africa,ZA,Free State,free-state,Lindley,lindley
South Africa,south-africa,ZA,Free State,free-state,Mangaung Metropolitan Municipality,mangaung-metropolitan-municipality
South Africa,south-africa,ZA,Free State,free-state,Marquard,marquard
South Africa,south-africa,ZA,Free State,free-state,Parys,parys
South Africa,south-africa,ZA,Free State,free-state,Phuthaditjhaba,phuthaditjhaba
South Africa,south-africa,ZA,Free State,free-state,Reitz,reitz
South Africa,south-africa,ZA,Free State,free-state,Sasolburg,sasolburg
