s_country_name,s_country_slug,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Zambia,zambia,ZM,Central Province,central-province,Chibombo,chibombo
Zambia,zambia,ZM,Central Province,central-province,Chibombo District,chibombo-district
Zambia,zambia,ZM,Central Province,central-province,Kabwe,kabwe
Zambia,zambia,ZM,Central Province,central-province,Kapiri Mposhi,kapiri-mposhi
Zambia,zambia,ZM,Central Province,central-province,Mkushi,mkushi
Zambia,zambia,ZM,Central Province,central-province,Mumbwa,mumbwa
Zambia,zambia,ZM,Central Province,central-province,Serenje,serenje
Zambia,zambia,ZM,Copperbelt Province,copperbelt-province,Chambishi,chambishi
Zambia,zambia,ZM,Copperbelt Province,copperbelt-province,Chililabombwe,chililabombwe
Zambia,zambia,ZM,Copperbelt Province,copperbelt-province,Chingola,chingola
Zambia,zambia,ZM,Copperbelt Province,copperbelt-province,Chingola District,chingola-district
Zambia,zambia,ZM,Copperbelt Province,copperbelt-province,Kalulushi,kalulushi
Zambia,zambia,ZM,Copperbelt Province,copperbelt-province,Kataba,kataba
Zambia,zambia,ZM,Copperbelt Province,copperbelt-province,Kitwe,kitwe
Zambia,zambia,ZM,Copperbelt Province,copperbelt-province,Luanshya,luanshya
Zambia,zambia,ZM,Copperbelt Province,copperbelt-province,Mpongwe,mpongwe
Zambia,zambia,ZM,Copperbelt Province,copperbelt-province,Mufulira,mufulira
Zambia,zambia,ZM,Copperbelt Province,copperbelt-province,Ndola,ndola
Zambia,zambia,ZM,Eastern Province,eastern-province,Chadiza,chadiza
Zambia,zambia,ZM,Eastern Province,eastern-province,Chipata,chipata
Zambia,zambia,ZM,Eastern Province,eastern-province,Lundazi,lundazi
Zambia,zambia,ZM,Eastern Province,eastern-province,Nyimba,nyimba
Zambia,zambia,ZM,Eastern Province,eastern-province,Petauke,petauke
Zambia,zambia,ZM,Luapula Province,luapula-province,Kawambwa,kawambwa
Zambia,zambia,ZM,Luapula Province,luapula-province,Mansa,mansa
Zambia,zambia,ZM,Luapula Province,luapula-province,Mwense,mwense
Zambia,zambia,ZM,Luapula Province,luapula-province,Nchelenge,nchelenge
Zambia,zambia,ZM,Luapula Province,luapula-province,Samfya,samfya
Zambia,zambia,ZM,Lusaka Province,lusaka-province,Chongwe,chongwe
Zambia,zambia,ZM,Lusaka Province,lusaka-province,Kafue,kafue
Zambia,zambia,ZM,Lusaka Province,lusaka-province,Luangwa,luangwa
Zambia,zambia,ZM,Lusaka Province,lusaka-province,Lusaka,lusaka
Zambia,zambia,ZM,Muchinga Province,muchinga-province,Chama,chama
Zambia,zambia,ZM,Muchinga Province,muchinga-province,Chinsali,chinsali
Zambia,zambia,ZM,Muchinga Province,muchinga-province,Isoka,isoka
Zambia,zambia,ZM,Muchinga Province,muchinga-province,Mpika,mpika
Zambia,zambia,ZM,Muchinga Province,muchinga-province,Nakonde,nakonde
Zambia,zambia,ZM,Northern Province,northern-province,Kaputa,kaputa
Zambia,zambia,ZM,Northern Province,northern-province,Kasama,kasama
Zambia,zambia,ZM,Northern Province,northern-province,Luwingu,luwingu
Zambia,zambia,ZM,Northern Province,northern-province,Mbala,mbala
Zambia,zambia,ZM,Northern Province,northern-province,Mporokoso,mporokoso
Zambia,zambia,ZM,Northern Province,northern-province,Mpulungu,mpulungu
Zambia,zambia,ZM,Northern Province,northern-province,Mungwi,mungwi
Zambia,zambia,ZM,Northwestern Province,northwestern-province,Kabompo,kabompo
Zambia,zambia,ZM,Northwestern Province,northwestern-province,Kalengwa,kalengwa
Zambia,zambia,ZM,Northwestern Province,northwestern-province,Kansanshi,kansanshi
Zambia,zambia,ZM,Northwestern Province,northwestern-province,Kasempa,kasempa
Zambia,zambia,ZM,Northwestern Province,northwestern-province,Mufumbwe,mufumbwe
Zambia,zambia,ZM,Northwestern Province,northwestern-province,Mwinilunga,mwinilunga
Zambia,zambia,ZM,Northwestern Province,northwestern-province,Solwezi,solwezi
Zambia,zambia,ZM,Northwestern Province,northwestern-province,Zambezi,zambezi
Zambia,zambia,ZM,Southern Province,southern-province,Choma,choma
Zambia,zambia,ZM,Southern Province,southern-province,Gwembe,gwembe
Zambia,zambia,ZM,Southern Province,southern-province,Itezhi-Tezhi District,itezhi-tezhi-district
Zambia,zambia,ZM,Southern Province,southern-province,Livingstone,livingstone
Zambia,zambia,ZM,Southern Province,southern-province,Maamba,maamba
Zambia,zambia,ZM,Southern Province,southern-province,Mazabuka,mazabuka
Zambia,zambia,ZM,Southern Province,southern-province,Monze,monze
Zambia,zambia,ZM,Southern Province,southern-province,Nakambala,nakambala
Zambia,zambia,ZM,Southern Province,southern-province,Namwala,namwala
Zambia,zambia,ZM,Southern Province,southern-province,Siavonga,siavonga
Zambia,zambia,ZM,Southern Province,southern-province,Siavonga District,siavonga-district
Zambia,zambia,ZM,Southern Province,southern-province,Sinazongwe,sinazongwe
Zambia,zambia,ZM,Western Province,western-province,Kalabo,kalabo
Zambia,zambia,ZM,Western Province,western-province,Kaoma,kaoma
Zambia,zambia,ZM,Western Province,western-province,Limulunga,limulunga
Zambia,zambia,ZM,Western Province,western-province,Lukulu,lukulu
Zambia,zambia,ZM,Western Province,western-province,Mongu,mongu
Zambia,zambia,ZM,Western Province,western-province,Senanga,senanga
Zambia,zambia,ZM,Western Province,western-province,Sesheke,sesheke
